Département,Taux_Urgences_Moyen,Taux_Hospit,Région,Couverture_65plus,Année,Score_Impact,Gap_Vaccinal,Catégorie_Risque
Guyane,1053.8740580705523,571.9093072426424,Guyane,14.8,2024,897.9,37.4,🔴 Critique
Haute-Vienne,1359.224462143159,895.3545593344437,Nouvelle Aquitaine,57.1,2024,583.1,-4.9,🟠 Élevé
Val-de-Marne,1235.8821038780868,645.0023433316338,Île-de-France,53.6,2024,573.4,-1.4,🟠 Élevé
Seine-Saint-Denis,974.3757711149291,707.0886879444191,Île-de-France,43.8,2024,547.6,8.4,🟠 Élevé
Guadeloupe,611.995600385094,632.0139993110066,Guadeloupe,15.1,2024,519.6,37.1,🟠 Élevé
Alpes-de-Haute-Provence,931.3011323811405,736.2097489476494,Provence-Alpes-Côte d'Azur,47.1,2024,492.7,5.1,🟠 Élevé
Bouches-du-Rhône,973.1753462215858,921.6864593279139,Provence-Alpes-Côte d'Azur,50.7,2024,479.8,1.5,🟠 Élevé
Corse-du-Sud,878.1553588209981,755.2464407662466,Corse,45.5,2024,478.6,6.7,🟠 Élevé
Haute-Savoie,903.2312915765921,763.5997083393378,Auvergne et Rhône-Alpes,48.2,2024,467.9,4.0,🟠 Élevé
Alpes-Maritimes,904.6382401572489,758.1453185758782,Provence-Alpes-Côte d'Azur,48.7,2024,464.1,3.5,🟠 Élevé
Var,928.7285678735178,856.4936169734252,Provence-Alpes-Côte d'Azur,50.1,2024,463.4,2.1,🟠 Élevé
Val-d'Oise,933.3720982998708,507.23217952777156,Île-de-France,50.8,2024,459.2,1.4,🟠 Élevé
Lot-et-Garonne,891.5774159840629,676.8570409837815,Nouvelle Aquitaine,49.5,2024,450.2,2.7,🟠 Élevé
Haut-Rhin,801.3051212461927,615.18562265551,Grand Est,44.9,2024,441.5,7.3,🟠 Élevé
Jura,835.2112097842443,447.3250243869934,Bourgogne et Franche-Comté,48.5,2024,430.1,3.7,🟠 Élevé
Martinique,480.8717136128678,391.34577175525806,Martinique,11.5,2024,425.6,40.7,🟠 Élevé
Yonne,883.1424262785106,324.32255951675495,Bourgogne et Franche-Comté,52.9,2024,416.0,-0.7,🟠 Élevé
Haute-Corse,773.7154627216973,529.362208427157,Corse,46.5,2024,413.9,5.7,🟠 Élevé
Hautes-Alpes,823.4346301660742,861.9907992970967,Provence-Alpes-Côte d'Azur,50.3,2024,409.2,1.9,🟠 Élevé
Vaucluse,785.4563264413802,1028.6426912351887,Provence-Alpes-Côte d'Azur,48.7,2024,402.9,3.5,🟠 Élevé
Vosges,836.1797080105085,787.2241979644239,Grand Est,52.2,2024,399.7,0.0,🟡 Moyen
Orne,832.6817805353894,514.3484337013244,Normandie,52.2,2024,398.0,0.0,🟡 Moyen
Haute-Loire,728.023125497273,759.112327145051,Auvergne et Rhône-Alpes,47.2,2024,384.4,5.0,🟡 Moyen
Essonne,860.4812485695589,480.2426139534172,Île-de-France,55.5,2024,382.9,-3.3,🟡 Moyen
Saône-et-Loire,810.1093888613808,709.6417597111192,Bourgogne et Franche-Comté,53.1,2024,379.9,-0.9,🟡 Moyen
Oise,798.4184666443734,485.5191372063686,Hauts-de-France,52.8,2024,376.9,-0.6,🟡 Moyen
Seine-et-Marne,817.7023620643371,418.0833191850649,Île-de-France,54.2,2024,374.5,-2.0,🟡 Moyen
Haute-Marne,757.7643496796894,732.2106460654636,Grand Est,51.1,2024,370.5,1.1,🟡 Moyen
Hauts-de-Seine,811.9239715015145,521.8474681157344,Île-de-France,54.4,2024,370.2,-2.2,🟡 Moyen
Eure,793.8288889373549,392.9218201253593,Normandie,53.9,2024,366.0,-1.7,🟡 Moyen
Bas-Rhin,738.7430828075265,549.7259989837451,Grand Est,50.7,2024,364.2,1.5,🟡 Moyen
Somme,874.9574480397179,688.9810481647681,Hauts-de-France,58.5,2024,363.1,-6.3,🟡 Moyen
Loiret,856.3893628292033,459.922001776351,Centre-Val de Loire,57.9,2024,360.5,-5.7,🟡 Moyen
Charente-Maritime,798.7273388818205,650.2766997194238,Nouvelle Aquitaine,55.5,2024,355.4,-3.3,🟡 Moyen
Isère,777.5247324220165,596.4057612547947,Auvergne et Rhône-Alpes,55.1,2024,349.1,-2.9,🟡 Moyen
Pyrénées-Orientales,672.526952305594,614.513140543298,Occitanie,49.6,2024,339.0,2.6,🟡 Moyen
Savoie,702.2767363190728,508.6930205042848,Auvergne et Rhône-Alpes,51.8,2024,338.5,0.4,🟡 Moyen
Tarn,714.386970935755,982.3862763849867,Occitanie,52.7,2024,337.9,-0.5,🟡 Moyen
Drôme,682.3064999587907,491.06190414760925,Auvergne et Rhône-Alpes,50.9,2024,335.0,1.3,🟡 Moyen
Paris,695.0279338760085,352.9615338920927,Île-de-France,53.4,2024,323.9,-1.2,🟡 Moyen
Aube,684.2447567550907,422.7371723657086,Grand Est,53.1,2024,320.9,-0.9,🟡 Moyen
Loire,664.9166520469954,653.4142290846881,Auvergne et Rhône-Alpes,51.9,2024,319.8,0.3,🟡 Moyen
Nord,713.9439775591615,587.1939341043643,Hauts-de-France,55.8,2024,315.6,-3.6,🟡 Moyen
Allier,673.1552787200583,566.015355549898,Auvergne et Rhône-Alpes,53.3,2024,314.4,-1.1,🟡 Moyen
Moselle,666.4289595270325,512.728801383943,Grand Est,53.1,2024,312.6,-0.9,🟡 Moyen
Ardèche,605.8692016535012,502.8743132546946,Auvergne et Rhône-Alpes,48.6,2024,311.4,3.6,🟡 Moyen
Hérault,678.6385321424789,402.1085045470384,Occitanie,54.5,2024,308.8,-2.3,🟡 Moyen
